SCurveDry_ID,voledSoil_Counter,voledSuction,voledWater_Content,voledSuction_psf
"{CA076C9F-CAE5-4140-97D12A285CD1B65D}","724385208",300,5.7800002,6265.4941
"{CA6981C4-72EB-4C50-86B18EC9DA4C3B54}","745177268",1400,21.93,29238.973
"{CA933258-0DE4-4E0B-BAD359F93963123E}","270169628",1400,17.49,29238.973
"{CD4EDE09-DB57-4A7D-AE6EFDE400C78C51}","550102180",300,18.43,6265.4941
"{D0414327-DC08-41A7-BAD6FFE29F09CC7C}","907329135",3.5999999,14.9,75.185928
"{D0A4EF5E-83FD-4059-818831399F9CC6E9}","650946193",500,16.309999,10442.49
"{D115848F-51E2-4A54-B07E64577166D32A}","857090102",50,17.66,1044.249
"{D2DB302B-6E58-4839-BF06A44FE38141C5}","875947793",3,14.14,62.654942
"{D49A6763-A37C-4328-999EB16A263B383F}","797098318",49,38.720001,1023.364
"{D62A919C-EE33-4FD5-9D2C61697E586982}","987640804",20,31.91,417.69962
"{D6B445A8-3339-4604-94B4968867638ED4}","977775944",8.54,20.860001,178.35773
"{DBA95F0A-0EDB-422D-941E1E19539EB4F4}","645047346",3.73,12.93,77.900978
"{DC8435F9-DF8F-44C4-A1D7205D9BA341C2}","270169628",200,20.450001,4176.9961
"{DE1387CA-8378-42D6-A66889EFF2D85D98}","699568165",1400,27.690001,29238.973
"{DEFC5CD2-398A-4D66-BD3AC672FAA867B8}","560393439",1400,20.879999,29238.973
"{DF49162B-0D15-4D1A-9E3323719DBDAA31}","797098318",1400,29.83,29238.973
"{E15330D8-4F64-45C6-9AA52C1F6184D38C}","629152350",40,23.709999,835.39923
"{E1CB2FB1-29E1-408F-916AFFED19F2B4DE}","741566816",9.79,8.5900002,204.46396
"{E27688F5-89D3-497A-94C3B636BCE0BD37}","366407288",30,16.34,626.54938
"{E56D0AAC-EAA1-478B-B6DEF59B8D44C628}","384667449",300,5.0999999,6265.4941
"{E57CD059-F0CF-4AC4-B87B0B2F9D2D1D24}","277377181",300,5.4099998,6265.4941
"{E6D56A1B-04BC-40FD-8491F22B9FFC7DB2}","870110935",50.029999,21.74,1044.8755
"{E7027147-0560-46CE-AECF8A74EE84447F}","395404285",100,6.9499998,2088.498
"{E8B721CC-AA6D-4BE4-8848F8A3E34FE13E}","280446105",4.8099999,11.94,100.45676
"{E9A340A2-3D45-49C9-8B53BFC8C8C1B00E}","247288332",650,21.9,13575.237
"{EBF45705-0B8D-42F7-B273A6DEE9CC2B86}","704385492",9.7600002,13.78,203.83742
"{EE33ABD0-3DD8-411D-91F7D74B7AD00ECD}","459331088",500,22.75,10442.49
"{EEDD99F6-E687-4907-AB1FC3B0B57D8151}","650946193",1400,12.97,29238.973
"{F0D01537-E5CC-4638-BDA2373F05200D15}","285334269",100,7.6799998,2088.498
"{F131B0A1-D07E-4A87-8A71AD22458F0726}","737639162",4.25,17.9,88.761169
"{F13601A4-66CB-4882-9FA16A25BA47A02C}","253499984",690,21.91,14410.637
"{F1C2A93E-C131-4EF8-A623B05EF5CECFFD}","500276247",4.4099998,14.12,92.10276
"{F2930FB0-9948-44F4-B5460E4B0EE4AD70}","435172080",500,10.72,10442.49
"{F37E7A7D-326B-4ECF-9C5A15C589AE44F2}","783668782",500,27.93,10442.49
"{F574B0CE-D5A1-42F0-9EEA57567DAFA06A}","810840659",200,6.79,4176.9961
"{FB9D4BD2-168A-4154-A86FD862C1BD23A3}","627865738",300,3.3,6265.4941
"{FC2826DD-983A-4366-BBB6219418D4FF32}","797098318",690,32.049999,14410.637
"{FCCAE4D7-BC74-429B-81CEBFCD61E446D5}","550102180",50,22.219999,1044.249
"{FE5B016F-BD1F-443F-A7F193F55C109E2D}","384667449",29.67,7.8699999,619.65735
